2016-10-21 14:09:41,886,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,892,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,898,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,905,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,911,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,916,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,922,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,927,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,932,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,938,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,943,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,948,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,952,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,957,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,962,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,967,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,973,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,977,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,982,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,987,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,992,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:41,997,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:42,003,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:42,008,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:42,013,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:42,018,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:42,023,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:42,029,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:42,034,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:42,038,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:42,043,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
2016-10-21 14:09:42,048,PCDisarmConnect,INFO,Wifi Scan List Result:,{'disarmNet': -91, 'DCA': -80, 'MANET': -71, 'DH-9888844001': -37, 'dlink': -92, 'LEDE': -65, 'SD-TD': -84}
