2016-10-21 14:10:39,692,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,697,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,702,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,707,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,712,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,717,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,723,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,728,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,732,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,736,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,742,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,747,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,751,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,756,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,762,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,767,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,772,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,776,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,780,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,786,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,790,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,794,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,800,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,807,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,812,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,817,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,822,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,826,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,832,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,836,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,841,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,845,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,849,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,853,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,859,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,865,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,870,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,875,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,880,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,884,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
2016-10-21 14:10:39,890,PCDisarmConnect,INFO,Wifi Scan List Result:,{'MANET': -71, '1stFloorLinksys': -76, 'DCA': -69, 'LEDE': -54, 'SD-TD': -84, 'DH-9888844001': -51}
