2016-10-21 14:14:48,592,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,598,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,603,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,609,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,615,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,619,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,624,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,629,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,633,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,637,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,641,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,646,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,651,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,656,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,660,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,665,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,669,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,673,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,677,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,681,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,685,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
2016-10-21 14:14:48,690,PCDisarmConnect,INFO,Wifi Scan List Result:,{'dlink': -76, 'LEDE': -47, 'SD-TD': -69}
